[42364b66-ab03-4c38-b374-5575a0c24868]
	general: name = Party
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 10
	spawn: groupMax = 40
	spawn: zone = 0

[c167d1e0-c077-4ee5-b353-88b374de193d]
	general: name = Civilians
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[bd53300c-f715-4cf7-a91f-1836a2282944]
	general: name = Runners
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[76e0eb48-ee72-45ac-9b1b-56a66f597235]
	general: name = Gardeners
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[e216b4ea-e57f-4b15-8cd8-140b82e7b5ea]
	general: name = Postal
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[e195497c-9a14-4c1f-b15a-b8227d15a682]
	general: name = Janitors
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[1783e8de-e11a-49c2-9e96-851190aa072b]
	general: name = Alyssa
	spawn: friendly = true
	spawn: companion = true
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 1
	spawn: zone = 0

